2026-05-25 09:18:26 cpu=33% temp=89°C
2026-05-25 09:18:31 cpu=55% temp=90°C
2026-05-25 09:18:35 cpu=56% temp=88°C
2026-05-25 09:18:39 cpu=12% temp=61°C
2026-05-25 09:18:43 cpu=12% temp=57°C
2026-05-25 09:18:47 cpu=56% temp=90°C
2026-05-25 09:18:51 cpu=55% temp=93°C
2026-05-25 09:18:55 cpu=8% temp=59°C
2026-05-25 09:18:59 cpu=60% temp=91°C
2026-05-25 09:19:04 cpu=55% temp=91°C
2026-05-25 09:19:08 cpu=55% temp=91°C
2026-05-25 09:19:12 cpu=12% temp=67°C
2026-05-25 09:19:16 cpu=10% temp=60°C
2026-05-25 09:19:20 cpu=61% temp=93°C
2026-05-25 09:19:24 cpu=61% temp=95°C
2026-05-25 09:19:28 cpu=55% temp=95°C
2026-05-25 09:19:32 cpu=56% temp=93°C
2026-05-25 09:19:36 cpu=15% temp=64°C
2026-05-25 09:19:41 cpu=46% temp=95°C
2026-05-25 09:19:45 cpu=56% temp=91°C
2026-05-25 09:19:49 cpu=26% temp=63°C
2026-05-25 09:19:53 cpu=7% temp=61°C
2026-05-25 09:19:57 cpu=56% temp=93°C
2026-05-25 09:20:01 cpu=61% temp=91°C
2026-05-25 09:20:05 cpu=13% temp=63°C
2026-05-25 09:20:09 cpu=10% temp=61°C
2026-05-25 09:20:13 cpu=59% temp=94°C
2026-05-25 09:20:18 cpu=55% temp=95°C
