2026-05-25 10:56:11 cpu=33% temp=63°C
2026-05-25 10:56:15 cpu=56% temp=94°C
2026-05-25 10:56:19 cpu=37% temp=75°C
2026-05-25 10:56:23 cpu=11% temp=53°C
2026-05-25 10:56:28 cpu=14% temp=54°C
2026-05-25 10:56:32 cpu=10% temp=51°C
2026-05-25 10:56:36 cpu=61% temp=84°C
2026-05-25 10:56:40 cpu=45% temp=60°C
2026-05-25 10:56:44 cpu=10% temp=56°C
2026-05-25 10:56:48 cpu=10% temp=55°C
2026-05-25 10:56:52 cpu=10% temp=51°C
2026-05-25 10:56:56 cpu=57% temp=83°C
2026-05-25 10:57:01 cpu=71% temp=91°C
2026-05-25 10:57:05 cpu=12% temp=59°C
2026-05-25 10:57:09 cpu=12% temp=57°C
2026-05-25 10:57:13 cpu=20% temp=56°C
2026-05-25 10:57:17 cpu=12% temp=53°C
2026-05-25 10:57:21 cpu=57% temp=96°C
2026-05-25 10:57:25 cpu=59% temp=89°C
2026-05-25 10:57:29 cpu=11% temp=57°C
2026-05-25 10:57:34 cpu=11% temp=55°C
2026-05-25 10:57:38 cpu=11% temp=53°C
2026-05-25 10:57:42 cpu=57% temp=87°C
2026-05-25 10:57:46 cpu=58% temp=93°C
2026-05-25 10:57:50 cpu=15% temp=58°C
2026-05-25 10:57:54 cpu=10% temp=56°C
2026-05-25 10:57:58 cpu=13% temp=54°C
2026-05-25 10:58:02 cpu=13% temp=54°C
2026-05-25 10:58:06 cpu=61% temp=87°C
2026-05-25 10:58:11 cpu=55% temp=62°C
2026-05-25 10:58:15 cpu=12% temp=56°C
2026-05-25 10:58:19 cpu=17% temp=53°C
2026-05-25 10:58:23 cpu=11% temp=53°C
2026-05-25 10:58:27 cpu=57% temp=94°C
2026-05-25 10:58:31 cpu=62% temp=88°C
2026-05-25 10:58:35 cpu=12% temp=57°C
2026-05-25 10:58:39 cpu=10% temp=56°C
2026-05-25 10:58:44 cpu=16% temp=53°C
2026-05-25 10:58:48 cpu=15% temp=79°C
2026-05-25 10:58:52 cpu=57% temp=88°C
2026-05-25 10:58:56 cpu=12% temp=55°C
2026-05-25 10:59:00 cpu=13% temp=54°C
2026-05-25 10:59:04 cpu=11% temp=51°C
2026-05-25 10:59:08 cpu=56% temp=92°C
2026-05-25 10:59:12 cpu=57% temp=85°C
2026-05-25 10:59:17 cpu=11% temp=56°C
2026-05-25 10:59:21 cpu=11% temp=55°C
2026-05-25 10:59:25 cpu=11% temp=53°C
2026-05-25 10:59:29 cpu=11% temp=51°C
2026-05-25 10:59:33 cpu=57% temp=90°C
2026-05-25 10:59:37 cpu=57% temp=84°C
2026-05-25 10:59:41 cpu=11% temp=57°C
2026-05-25 10:59:45 cpu=18% temp=56°C
2026-05-25 10:59:50 cpu=10% temp=52°C
2026-05-25 10:59:54 cpu=32% temp=78°C
2026-05-25 10:59:58 cpu=61% temp=85°C
2026-05-25 11:00:02 cpu=12% temp=57°C
2026-05-25 11:00:06 cpu=12% temp=55°C
2026-05-25 11:00:10 cpu=17% temp=53°C
2026-05-25 11:00:14 cpu=13% temp=52°C
2026-05-25 11:00:18 cpu=58% temp=89°C
2026-05-25 11:00:22 cpu=47% temp=60°C
2026-05-25 11:00:26 cpu=11% temp=55°C
2026-05-25 11:00:30 cpu=11% temp=55°C
2026-05-25 11:00:35 cpu=9% temp=53°C
2026-05-25 11:00:39 cpu=56% temp=90°C
2026-05-25 11:00:43 cpu=56% temp=91°C
2026-05-25 11:00:47 cpu=11% temp=56°C
2026-05-25 11:00:51 cpu=11% temp=53°C
2026-05-25 11:00:55 cpu=12% temp=51°C
2026-05-25 11:00:59 cpu=12% temp=52°C
2026-05-25 11:01:03 cpu=56% temp=91°C
2026-05-25 11:01:08 cpu=57% temp=94°C
2026-05-25 11:01:12 cpu=12% temp=57°C
2026-05-25 11:01:16 cpu=10% temp=55°C
2026-05-25 11:01:20 cpu=10% temp=55°C
2026-05-25 11:01:24 cpu=54% temp=84°C
2026-05-25 11:01:28 cpu=61% temp=87°C
2026-05-25 11:01:32 cpu=10% temp=59°C
2026-05-25 11:01:36 cpu=11% temp=56°C
2026-05-25 11:01:41 cpu=17% temp=55°C
2026-05-25 11:01:45 cpu=10% temp=53°C
2026-05-25 11:01:49 cpu=58% temp=93°C
2026-05-25 11:01:53 cpu=30% temp=59°C
2026-05-25 11:01:57 cpu=12% temp=55°C
2026-05-25 11:02:01 cpu=11% temp=54°C
2026-05-25 11:02:05 cpu=17% temp=53°C
2026-05-25 11:02:09 cpu=55% temp=85°C
2026-05-25 11:02:14 cpu=59% temp=88°C
2026-05-25 11:02:18 cpu=19% temp=59°C
2026-05-25 11:02:22 cpu=11% temp=58°C
2026-05-25 11:02:26 cpu=12% temp=55°C
2026-05-25 11:02:30 cpu=19% temp=55°C
2026-05-25 11:02:34 cpu=57% temp=87°C
2026-05-25 11:02:38 cpu=56% temp=89°C
2026-05-25 11:02:42 cpu=17% temp=59°C
2026-05-25 11:02:46 cpu=12% temp=57°C
2026-05-25 11:02:51 cpu=17% temp=56°C
2026-05-25 11:02:55 cpu=34% temp=88°C
2026-05-25 11:02:59 cpu=57% temp=88°C
2026-05-25 11:03:03 cpu=12% temp=58°C
2026-05-25 11:03:07 cpu=18% temp=56°C
2026-05-25 11:03:11 cpu=11% temp=55°C
2026-05-25 11:03:15 cpu=13% temp=53°C
2026-05-25 11:03:19 cpu=62% temp=88°C
2026-05-25 11:03:23 cpu=56% temp=87°C
2026-05-25 11:03:28 cpu=10% temp=57°C
2026-05-25 11:03:32 cpu=16% temp=56°C
2026-05-25 11:03:36 cpu=16% temp=57°C
2026-05-25 11:03:40 cpu=19% temp=95°C
2026-05-25 11:03:44 cpu=62% temp=85°C
2026-05-25 11:03:48 cpu=12% temp=57°C
2026-05-25 11:03:52 cpu=13% temp=55°C
2026-05-25 11:03:56 cpu=16% temp=55°C
2026-05-25 11:04:01 cpu=38% temp=89°C
2026-05-25 11:04:05 cpu=64% temp=95°C
2026-05-25 11:04:09 cpu=58% temp=62°C
2026-05-25 11:04:13 cpu=11% temp=57°C
